Name,Price,Store Name,Product Link,Main Img Link,Date,Season,Category
Faux Oversized Cone Hydrangea Bundle,$ 79.50,potterybarn,https://www.potterybarn.com/products/faux-oversized-cone-hydrangea-bundle/?subGroupId=faux-oversized-cone-hydrangea-bundle-SPAF-color-yellow-color,https://assets.pbimgs.com/pbimgs/rk/images/dp/wcm/202625/0349/img1xl.jpg,2026/7/9,fall,artificial plants
Faux Oversized Yellow Sumac Branch,$ 69.50,potterybarn,https://www.potterybarn.com/products/yellow-sumac-branch/,https://assets.pbimgs.com/pbimgs/rk/images/dp/wcm/202621/0430/faux-yellow-sumac-branch-l.jpg,2026/7/9,fall,artificial plants
Faux Millet Bundle,$ 39.50,potterybarn,https://www.potterybarn.com/products/faux-cream-millet-bundle/,https://assets.pbimgs.com/pbimgs/rk/images/dp/wcm/202620/0175/faux-millet-bundle-l.jpg,2026/7/9,fall,artificial plants
Faux Maple Leaf Vine Branch,$ 34.50,potterybarn,https://www.potterybarn.com/products/maple-leaf-vine-branch/,https://assets.pbimgs.com/pbimgs/rk/images/dp/wcm/202622/0463/faux-maple-leaf-vine-branch-l.jpg,2026/7/9,fall,artificial plants
Faux Green Astible Bundle,$ 79.50,potterybarn,https://www.potterybarn.com/products/green-astilbe-bundle/,https://assets.pbimgs.com/pbimgs/rk/images/dp/wcm/202622/0467/faux-green-astible-bundle-l.jpg,2026/7/9,fall,artificial plants
Faux Rust Berry Branch,$ 59.50,potterybarn,https://www.potterybarn.com/products/rust-turning-berry-branch/,https://assets.pbimgs.com/pbimgs/rk/images/dp/wcm/202622/0413/faux-rust-turning-berry-branch-l.jpg,2026/7/9,fall,artificial plants
Faux Burgundy Berry Branch,$ 24.50,potterybarn,https://www.potterybarn.com/products/burgundy-berry-branch/,https://assets.pbimgs.com/pbimgs/rk/images/dp/wcm/202622/0424/faux-burgundy-berry-branch-l.jpg,2026/7/9,fall,artificial plants
Faux Millet Bundle with Leaves,$ 49.50,potterybarn,https://www.potterybarn.com/products/millet-bundle-with-leaves/?subGroupId=millet-bundle-with-leaves-SPAF-color-natural,https://assets.pbimgs.com/pbimgs/rk/images/dp/wcm/202619/0639/img2xl.jpg,2026/7/9,fall,artificial plants
Faux Scarlet Star Grass Bundle,$ 49.50,potterybarn,https://www.potterybarn.com/products/scarlet-star-grass-bundle/,https://assets.pbimgs.com/pbimgs/rk/images/dp/wcm/202622/0472/faux-scarlet-star-grass-bundle-l.jpg,2026/7/9,fall,artificial plants
Faux Cream Hydrangea Bundle,$ 39.50,potterybarn,https://www.potterybarn.com/products/faux-cream-hydrangea-bundle/,https://assets.pbimgs.com/pbimgs/rk/images/dp/wcm/202621/0011/faux-cream-hydrangea-bundle-l.jpg,2026/7/9,fall,artificial plants
Faux Millet Bundle with Leaves,$ 49.50,potterybarn,https://www.potterybarn.com/products/millet-bundle-with-leaves/?subGroupId=millet-bundle-with-leaves-SPAF-color-burgundy,https://assets.pbimgs.com/pbimgs/rk/images/dp/wcm/202619/0639/img1xl.jpg,2026/7/9,fall,artificial plants
Faux Dry Grass Bundle,$ 29.50,potterybarn,https://www.potterybarn.com/products/dry-grass-dusty-bundle/,https://assets.pbimgs.com/pbimgs/rk/images/dp/wcm/202622/0429/faux-dry-grass-dusty-bundle-l.jpg,2026/7/9,fall,artificial plants
Faux Coast Oak Branch,$ 29.50,potterybarn,https://www.potterybarn.com/products/coast-live-oak-branch/,https://assets.pbimgs.com/pbimgs/rk/images/dp/wcm/202622/0474/coast-live-oak-branch-l.jpg,2026/7/9,fall,artificial plants
Faux Black Millet Bundle,$ 39.50,potterybarn,https://www.potterybarn.com/products/black-millet-bundle/,https://assets.pbimgs.com/pbimgs/rk/images/dp/wcm/202622/0460/black-millet-bundle-1-l.jpg,2026/7/9,fall,artificial plants
Faux Dry Grass Bundle,$ 34.50,potterybarn,https://www.potterybarn.com/products/dry-grass-burgundy-bundle/,https://assets.pbimgs.com/pbimgs/rk/images/dp/wcm/202622/0431/faux-dry-grass-bundle-l.jpg,2026/7/9,fall,artificial plants
Faux Orange Berry Branch,$ 29.50,potterybarn,https://www.potterybarn.com/products/orange-berry-branch/,https://assets.pbimgs.com/pbimgs/rk/images/dp/wcm/202622/0457/orange-berry-branch-l.jpg,2026/7/9,fall,artificial plants
Faux Golden Yellow Gypsophila Branch,$ 49.50,potterybarn,https://www.potterybarn.com/products/golden-yellow-gypsophila-branch/,https://assets.pbimgs.com/pbimgs/rk/images/dp/wcm/202621/0903/faux-golden-yellow-gysophilia-branch-l.jpg,2026/7/9,fall,artificial plants
Faux Burgundy Eucalyptus Branch,$ 29.50,potterybarn,https://www.potterybarn.com/products/faux-burgundy-eucalyptus-branch/,https://assets.pbimgs.com/pbimgs/rk/images/dp/wcm/202607/0004/faux-burgundy-eucalyptus-branch-l.jpg,2026/7/9,fall,artificial plants
Faux Turning Fig Leaf Branch,$22.97,potterybarn,https://www.potterybarn.com/products/faux-turning-fig-leaf-branch/,https://assets.pbimgs.com/pbimgs/rk/images/dp/wcm/202621/0007/faux-turning-fig-leaf-branch-l.jpg,2026/7/9,fall,artificial plants
Faux Turning Aspen Branch,$16.97,potterybarn,https://www.potterybarn.com/products/faux-turning-aspen-branch/,https://assets.pbimgs.com/pbimgs/rk/images/dp/wcm/202621/0008/faux-turning-aspen-branch-1-l.jpg,2026/7/9,fall,artificial plants
Faux Mixed Yarrow Bundle,$19.97,potterybarn,https://www.potterybarn.com/products/faux-mixed-yarrow-bundle/,https://assets.pbimgs.com/pbimgs/rk/images/dp/wcm/202623/0011/faux-mixed-yarrow-bundle-2-l.jpg,2026/7/9,fall,artificial plants
Faux Oversized Fall Leaf Branch,$22.97,potterybarn,https://www.potterybarn.com/products/faux-yellow-fall-leaf-branch/,https://assets.pbimgs.com/pbimgs/rk/images/dp/wcm/202622/0008/faux-oversized-fall-leaf-branch-l.jpg,2026/7/9,fall,artificial plants
Faux Pearl Millet Bundle,$9.97,potterybarn,https://www.potterybarn.com/products/faux-pearl-millet-bundle/,https://assets.pbimgs.com/pbimgs/rk/images/dp/wcm/202619/0088/faux-pearl-millet-bundle-l.jpg,2026/7/9,fall,artificial plants
Faux Astilbe Bundle,$28.97,potterybarn,https://www.potterybarn.com/products/faux-astilbe-bundle/,https://assets.pbimgs.com/pbimgs/rk/images/dp/wcm/202624/0193/img415l.jpg,2026/7/9,fall,artificial plants
Faux Wisteria Bundle,$15.97,potterybarn,https://www.potterybarn.com/products/faux-wysteria-bundle/,https://assets.pbimgs.com/pbimgs/rk/images/dp/wcm/202621/0016/faux-wisteria-bundle-1-l.jpg,2026/7/9,fall,artificial plants
Faux Queen Anne's Lace Branch,$18.97,potterybarn,https://www.potterybarn.com/products/faux-oversiversized-queen-annes-lace-branch/,https://assets.pbimgs.com/pbimgs/rk/images/dp/wcm/202623/0024/faux-queen-annes-lace-branch-l.jpg,2026/7/9,fall,artificial plants
Faux Oversized Turning Maple Branch,$22.97,potterybarn,https://www.potterybarn.com/products/faux-chocolate-turning-maple-branch/,https://assets.pbimgs.com/pbimgs/rk/images/dp/wcm/202621/0012/faux-oversized-turning-maple-branch-1-l.jpg,2026/7/9,fall,artificial plants
Faux Oversized Gypsophila Branch,$34.97,potterybarn,https://www.potterybarn.com/products/faux-gypsophila-branch/?subGroupId=faux-gypsophila-branch-SPAF-color-green-color,https://assets.pbimgs.com/pbimgs/rk/images/dp/wcm/202623/0039/img251xl.jpg,2026/7/9,fall,artificial plants
Faux Oversized Gypsophila Branch,$34.97,potterybarn,https://www.potterybarn.com/products/faux-gypsophila-branch/?subGroupId=faux-gypsophila-branch-SPAF-color-rust,https://assets.pbimgs.com/pbimgs/rk/images/dp/wcm/202623/0066/img186xl.jpg,2026/7/9,fall,artificial plants
Faux Fall Blooming Branch,$10.97,potterybarn,https://www.potterybarn.com/products/faux-fall-blooming-branch/,https://assets.pbimgs.com/pbimgs/rk/images/dp/wcm/202622/0011/faux-fall-blooming-branch-1-l.jpg,2026/7/9,fall,artificial plants
Faux Yellow Beech Leaf Branch,$19.97,potterybarn,https://www.potterybarn.com/products/faux-yellow-turning-beech-leaf-branch/,https://assets.pbimgs.com/pbimgs/rk/images/dp/wcm/202621/0007/faux-yellow-beech-leaf-branch-1-l.jpg,2026/7/9,fall,artificial plants
Faux Large Grass Branch,$10.97,potterybarn,https://www.potterybarn.com/products/faux-large-grass-branch/,https://assets.pbimgs.com/pbimgs/rk/images/dp/wcm/202621/0016/faux-large-grass-branch-4-l.jpg,2026/7/9,fall,artificial plants
Faux Hydrangea Bundle,$33.99,potterybarn,https://www.potterybarn.com/products/faux-blush-hydrangea-bundle/?subGroupId=faux-blush-hydrangea-bundle-SPAF-color-pink-color,https://assets.pbimgs.com/pbimgs/rk/images/dp/wcm/202623/0043/img85xl.jpg,2026/7/9,fall,artificial plants
Faux Terracotta Potted Olive Tree,$88.97,potterybarn,https://www.potterybarn.com/products/terracotta-potted-olive-tree/,https://assets.pbimgs.com/pbimgs/rk/images/dp/wcm/202612/1031/faux-terracotta-potted-olive-tree-1-l.jpg,2026/7/9,fall,artificial plants
Faux Hydrangea Bundle,$33.99,potterybarn,https://www.potterybarn.com/products/faux-blush-hydrangea-bundle/?subGroupId=faux-blush-hydrangea-bundle-SPAF-color-brown,https://assets.pbimgs.com/pbimgs/rk/images/dp/wcm/202620/0186/img1xl.jpg,2026/7/9,fall,artificial plants
Faux Hydrangea Bundle,$33.99,potterybarn,https://www.potterybarn.com/products/faux-blush-hydrangea-bundle/?subGroupId=faux-blush-hydrangea-bundle-SPAF-color-pink,https://assets.pbimgs.com/pbimgs/rk/images/dp/wcm/202611/0482/img1xl.jpg,2026/7/9,fall,artificial plants
Faux Oversized Maple Leaf Bundle,$28.97,potterybarn,https://www.potterybarn.com/products/faux-oversized-maple-leaf-bundle/,https://assets.pbimgs.com/pbimgs/rk/images/dp/wcm/202625/0002/faux-oversized-maple-leaf-bundle-l.jpg,2026/7/9,fall,artificial plants
Faux Hydrangea Bundle,$33.99,potterybarn,https://www.potterybarn.com/products/faux-blush-hydrangea-bundle/?subGroupId=faux-blush-hydrangea-bundle-SPAF-color-green-color,https://assets.pbimgs.com/pbimgs/rk/images/dp/wcm/202611/0481/img1xl.jpg,2026/7/9,fall,artificial plants
Faux Hydrangea Bundle,$33.99,potterybarn,https://www.potterybarn.com/products/faux-blush-hydrangea-bundle/?subGroupId=faux-blush-hydrangea-bundle-SPAF-color-burgundy,https://assets.pbimgs.com/pbimgs/rk/images/dp/wcm/202622/0938/img1xl.jpg,2026/7/9,fall,artificial plants
Faux Hydrangea Bundle,$33.99,potterybarn,https://www.potterybarn.com/products/faux-blush-hydrangea-bundle/?subGroupId=faux-blush-hydrangea-bundle-SPAF-color-mauve,https://assets.pbimgs.com/pbimgs/rk/images/dp/wcm/202623/0074/img281xl.jpg,2026/7/9,fall,artificial plants
Faux Hydrangea Bundle,$33.99,potterybarn,https://www.potterybarn.com/products/faux-blush-hydrangea-bundle/?subGroupId=faux-blush-hydrangea-bundle-SPAF-color-camel,https://assets.pbimgs.com/pbimgs/rk/images/dp/wcm/202621/0062/img3xl.jpg,2026/7/9,fall,artificial plants
Faux Burgundy Flower Bundle,$13.97,potterybarn,https://www.potterybarn.com/products/faux-burgundy-flower-bundle/,https://assets.pbimgs.com/pbimgs/rk/images/dp/wcm/202621/0010/faux-burgundy-flower-bundle-2-l.jpg,2026/7/9,fall,artificial plants
Faux Oversized Turning Sumac Branch,$28.97,potterybarn,https://www.potterybarn.com/products/faux-turning-sumac-branch/,https://assets.pbimgs.com/pbimgs/rk/images/dp/wcm/202621/0011/handcrafted-arquette-pitcher-2-l.jpg,2026/7/9,fall,artificial plants
Faux Potted Black Berry Cluster Cone Tree,$43.97,potterybarn,https://www.potterybarn.com/products/faux-black-cone-berry-tree/,https://assets.pbimgs.com/pbimgs/rk/images/dp/wcm/202620/0062/img238l.jpg,2026/7/9,fall,artificial plants
